cell,invariant,before,after,residual,scaled_residual
680,mom_y,-5.709526034593461251401e-10,-5.709526034593461251401e-10,0.000000000000000000000e+00,0.00000000000000000e+00
680,mom_z,-3.327222078180120118628e-13,-3.327222078180120118628e-13,0.000000000000000000000e+00,0.00000000000000000e+00
680,energy,2.947095863164159098039e-05,2.947095863164159098039e-05,0.000000000000000000000e+00,0.00000000000000000e+00
680,mass_d,1.276619996693670705647e-12,1.276619996693670705647e-12,0.000000000000000000000e+00,0.00000000000000000e+00
680,mass_T,3.600000000000000091203e-05,3.600000000000000091203e-05,0.000000000000000000000e+00,0.00000000000000000e+00
681,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
681,mom_x,3.860064901617545199609e-07,3.860064901617545199609e-07,0.000000000000000000000e+00,0.00000000000000000e+00
681,mom_y,-2.933873614168739316032e-10,-2.933873614168739316032e-10,0.000000000000000000000e+00,0.00000000000000000e+00
681,mom_z,-1.931464361621099571708e-13,-1.931464361621099571708e-13,0.000000000000000000000e+00,0.00000000000000000e+00
681,energy,1.499681604506775056890e-05,1.499681604506775056890e-05,0.000000000000000000000e+00,0.00000000000000000e+00
681,mass_d,5.862054973253621890696e-13,5.862054973253621890696e-13,0.000000000000000000000e+00,0.00000000000000000e+00
681,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
682,mass,1.000000000000000020923e-08,1.000000000000000020923e-08,0.000000000000000000000e+00,0.00000000000000000e+00
682,mom_x,7.803118718997758241780e-07,7.803118718997758241780e-07,0.000000000000000000000e+00,0.00000000000000000e+00
682,mom_y,-5.865125107653782142885e-10,-5.865125107653782142885e-10,0.000000000000000000000e+00,0.00000000000000000e+00
682,mom_z,-5.070695220629188409348e-13,-5.070695220629188409348e-13,0.000000000000000000000e+00,0.00000000000000000e+00
682,energy,3.062461535938119802864e-05,3.062461535938119802864e-05,0.000000000000000000000e+00,0.00000000000000000e+00
