factor,initial_target_cell_particles,state,manuscript_state,stage,processes,median_process_time_ms
64,704000,S1,S1,moments_ms,5,14.244351850000001
64,704000,S1,S1,pressure_post_ms,5,14.973440200000001
64,704000,S1,S1,compaction_ms,5,36.413440700000002
64,704000,S1,S1,boundary_ms,5,0.024576000899999999
64,704000,S2,S2,total_ms,5,85.050880400000011
64,704000,S2,S2,gas_flux_ms,5,0.3620000035
64,704000,S2,S2,eulerian_coupling_ms,5,0.098304003500000001
64,704000,S2,S2,injection_ms,5,0.032767999899999997
64,704000,S2,S2,bin_pre_ms,5,0.103935998
64,704000,S2,S2,pressure_pre_ms,5,12.972383499999999
64,704000,S2,S2,collision_pool_ms,5,0.98099201899999999
64,704000,S2,S2,relax_ms,5,12.399615750000001
64,704000,S2,S2,track_ms,5,4.2910718899999996
64,704000,S2,S2,bin_post_ms,5,0.46847999099999998
64,704000,S2,S2,moments_ms,5,2.0270079399999998
64,704000,S2,S2,pressure_post_ms,5,14.9719038
64,704000,S2,S2,compaction_ms,5,36.243967050000002
64,704000,S2,S2,boundary_ms,5,0.0255999994
