factor,initial_target_cell_particles,ratio,stage,pairs,median_speedup,ci95_low,ci95_high,classification
1,11000,S1_over_T1,bin_post_ms,5,1.0055096849321778,0.99590727848877114,1.0068870658113998,inconclusive
1,11000,S1_over_T1,moments_ms,5,0.99869450743044064,0.9858521305421174,1.0081672527599559,inconclusive
1,11000,S1_over_T1,pressure_post_ms,5,1.003707478211803,0.9942793861949546,1.007759764358235,inconclusive
1,11000,S1_over_T1,compaction_ms,5,0.99974069499338059,0.99481599274010413,1.0018212706739791,inconclusive
1,11000,S1_over_T1,boundary_ms,5,1,0.96000005765625152,1.0006510090907423,inconclusive
2,22000,T2_over_T1,total_ms,5,0.98403137688113829,0.98129737174835674,0.98871561123248131,negative
2,22000,T2_over_T1,gas_flux_ms,5,1.029705227993571,0.96476519570860086,1.1183260942785347,inconclusive
2,22000,T2_over_T1,eulerian_coupling_ms,5,0.98969079275619021,0.97499999633789047,1.0364582659138599,inconclusive
2,22000,T2_over_T1,injection_ms,5,1,0.98437499537467965,1.0312500123023989,inconclusive
2,22000,T2_over_T1,bin_pre_ms,5,0.9789473614146903,0.97382202007230645,0.98293202348217934,negative
2,22000,T2_over_T1,pressure_pre_ms,5,1.0026770521775177,0.99605653279555528,1.0062851989730448,inconclusive
2,22000,T2_over_T1,collision_pool_ms,5,0.8559366832616776,0.85414479609882432,0.85934180669164539,negative
2,22000,T2_over_T1,relax_ms,5,0.99906707736699663,0.9890782003980142,1.0010314560568321,inconclusive
2,22000,T2_over_T1,track_ms,5,0.99668918669890882,0.98907317470398204,1.0002670596569421,inconclusive
2,22000,T2_over_T1,bin_post_ms,5,0.97989280265246315,0.97855234883605324,0.98924730685989748,negative
2,22000,T2_over_T1,moments_ms,5,0.8656801414080294,0.85923834146696032,0.86969721823459989,negative
2,22000,T2_over_T1,pressure_post_ms,5,0.99633452915107856,0.99567243991746257,1.0046791803491497,inconclusive
2,22000,T2_over_T1,compaction_ms,5,0.99793684825625917,0.99250936205416451,1.004985360925978,inconclusive
2,22000,T2_over_T1,boundary_ms,5,1,1,1.0416666041056339,inconclusive
2,22000,S2_over_S1,total_ms,5,0.98226904417063898,0.98100482874771444,0.98561397252724237,negative
2,22000,S2_over_S1,gas_flux_ms,5,1.0204081819749586,0.97466666689756953,1.1253822833402816,inconclusive
2,22000,S2_over_S1,eulerian_coupling_ms,5,1,0.98477156720251746,1.0156249302705154,inconclusive
2,22000,S2_over_S1,injection_ms,5,0.98804777632497964,0.96726044746563955,1,inconclusive
2,22000,S2_over_S1,bin_pre_ms,5,0.21831237622321112,0.2008921107320587,0.47826086287327224,negative
2,22000,S2_over_S1,pressure_pre_ms,5,0.99452048605038312,0.99250272402663597,1.004481247082915,inconclusive
2,22000,S2_over_S1,collision_pool_ms,5,0.84855628844099873,0.84136306093715785,0.85351448826075171,negative
2,22000,S2_over_S1,relax_ms,5,0.9997055165279406,0.99877021262276888,1.0010316635528373,inconclusive
2,22000,S2_over_S1,track_ms,5,0.99785578703208777,0.99547995281549129,1.0037584181441717,inconclusive
2,22000,S2_over_S1,bin_post_ms,5,0.98118280931874768,0.97593587823713113,0.98123325646887305,negative
2,22000,S2_over_S1,moments_ms,5,0.86285067622096967,0.86159459880334077,0.86761364970404276,negative
2,22000,S2_over_S1,pressure_post_ms,5,1.0029641511405012,1.0010036867146401,1.0067091744024304,positive
